time,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,soil_temperature_0cm,soil_moisture_0_to_7cm
2026-03-18 00:00:00,8.0,63,1.4,7.2,5.4,
2026-03-18 01:00:00,7.3,66,1.3,6.5,4.9,
2026-03-18 02:00:00,6.8,67,1.1,6.5,4.5,
2026-03-18 03:00:00,6.2,72,1.6,6.2,4.2,
2026-03-18 04:00:00,5.6,75,1.5,5.4,3.8,
2026-03-18 05:00:00,5.4,78,1.9,5.4,3.5,
2026-03-18 06:00:00,5.1,81,2.1,5.1,3.2,
2026-03-18 07:00:00,5.1,80,1.9,5.2,3.3,
2026-03-18 08:00:00,6.2,79,2.9,3.3,6.1,
2026-03-18 09:00:00,7.9,75,3.8,3.6,10.8,
2026-03-18 10:00:00,9.0,79,5.6,4.0,13.5,
2026-03-18 11:00:00,10.6,74,6.1,6.1,16.0,
2026-03-18 12:00:00,11.8,72,6.9,9.1,17.5,
2026-03-18 13:00:00,12.6,61,5.3,8.1,17.2,
2026-03-18 14:00:00,13.4,54,4.3,9.5,17.9,
2026-03-18 15:00:00,13.9,52,4.2,8.0,17.9,
2026-03-18 16:00:00,14.0,53,4.5,9.7,15.5,
2026-03-18 17:00:00,13.8,57,5.5,8.1,14.2,
2026-03-18 18:00:00,13.2,63,6.3,5.2,11.9,
2026-03-18 19:00:00,12.2,69,6.7,1.1,10.2,
2026-03-18 20:00:00,11.2,74,6.7,5.4,9.3,
2026-03-18 21:00:00,10.5,70,5.2,5.8,8.6,
2026-03-18 22:00:00,9.9,67,4.1,7.6,7.9,
2026-03-18 23:00:00,9.4,67,3.6,6.9,7.2,
2026-03-19 00:00:00,8.7,70,3.6,8.0,6.7,
2026-03-19 01:00:00,8.5,70,3.3,6.3,6.2,
2026-03-19 02:00:00,7.9,73,3.4,6.3,5.8,
2026-03-19 03:00:00,7.8,74,3.4,6.3,5.8,
2026-03-19 04:00:00,7.8,75,3.6,4.0,5.7,
2026-03-19 05:00:00,7.7,76,3.7,4.5,6.0,
2026-03-19 06:00:00,7.4,79,4.0,5.4,6.0,
2026-03-19 07:00:00,7.4,80,4.2,4.4,6.2,
2026-03-19 08:00:00,8.1,79,4.7,3.0,7.5,
2026-03-19 09:00:00,8.7,82,5.8,3.5,9.3,
2026-03-19 10:00:00,9.4,79,5.9,2.3,11.9,
2026-03-19 11:00:00,10.1,78,6.5,4.2,13.4,
2026-03-19 12:00:00,10.8,75,6.6,5.5,14.2,
2026-03-19 13:00:00,11.3,74,6.8,7.3,14.7,
2026-03-19 14:00:00,11.8,71,6.7,6.6,14.0,
2026-03-19 15:00:00,12.8,49,2.4,11.6,12.7,
2026-03-19 16:00:00,11.4,58,3.5,13.3,11.2,
2026-03-19 17:00:00,10.7,65,4.4,8.6,10.2,
2026-03-19 18:00:00,9.9,74,5.5,5.8,9.2,
2026-03-19 19:00:00,9.1,77,5.3,4.7,8.4,
2026-03-19 20:00:00,8.5,83,5.8,3.1,8.1,
2026-03-19 21:00:00,8.1,85,5.7,1.1,7.9,
2026-03-19 22:00:00,7.7,89,6.0,1.5,7.9,
2026-03-19 23:00:00,7.5,91,6.2,2.5,7.6,
2026-03-20 00:00:00,7.3,91,6.0,2.8,7.2,
2026-03-20 01:00:00,7.0,92,5.8,4.6,6.8,
2026-03-20 02:00:00,6.9,90,5.4,5.5,6.6,
2026-03-20 03:00:00,6.8,89,5.1,4.3,6.7,
2026-03-20 04:00:00,6.8,88,4.9,4.7,6.6,
2026-03-20 05:00:00,6.6,90,5.1,3.4,6.5,
2026-03-20 06:00:00,6.6,91,5.2,3.2,6.3,
2026-03-20 07:00:00,6.5,91,5.1,4.1,6.2,
2026-03-20 08:00:00,6.9,89,5.2,4.2,7.3,
2026-03-20 09:00:00,7.6,87,5.6,3.1,9.7,
2026-03-20 10:00:00,8.2,86,6.0,3.4,11.4,
2026-03-20 11:00:00,9.2,84,6.7,4.7,13.5,
2026-03-20 12:00:00,9.6,81,6.5,8.0,13.0,
2026-03-20 13:00:00,9.9,75,5.7,5.5,13.0,
2026-03-20 14:00:00,10.7,70,5.4,5.5,14.3,
2026-03-20 15:00:00,11.2,71,6.2,7.7,14.9,
2026-03-20 16:00:00,11.5,69,6.0,8.2,14.2,
2026-03-20 17:00:00,11.2,71,6.2,8.4,12.3,
2026-03-20 18:00:00,10.8,73,6.1,8.2,10.4,
2026-03-20 19:00:00,9.8,80,6.5,4.4,8.8,
2026-03-20 20:00:00,8.8,85,6.4,4.6,7.9,
2026-03-20 21:00:00,8.3,88,6.5,4.0,7.5,
2026-03-20 22:00:00,7.9,89,6.2,2.4,6.8,
2026-03-20 23:00:00,7.5,88,5.7,2.9,6.3,
